ELEMENTID,FROM_NODE,TO_NODE,DELTA_X,DELTA_Y,DELTA_Z,DIAMETER,WALL_THICK,BEND_PTR,RIGID_PTR,REST_PTR,ALLOW_PTR,INT_PTR
1,10,20,0.0,0.0,-107.9999923706055,114.2999954223633,6.0,0,1,1,1,0
2,20,30,0.0,0.0,-992.0,114.2999954223633,6.0,0,0,0,0,0
3,30,40,0.0,0.0,-3084.583984375,114.2999954223633,6.0,1,0,2,0,0
4,40,50,0.0,1442.400024414062,0.0,114.2999954223633,6.0,2,0,0,0,0
5,50,60,722.4276733398438,0.0,0.0,114.2999954223633,6.0,3,0,0,0,0
6,60,65,0.0,-1000.0,0.0,114.2999954223633,6.0,4,0,0,0,0
7,65,70,0.0,0.0,-1950.722778320312,114.2999954223633,6.0,0,0,0,0,0
8,70,80,0.0,0.0,-104.80078125,114.2999954223633,6.0,0,0,0,0,0
9,80,90,0.0,0.0,-616.099609375,114.2999954223633,6.0,0,2,0,0,0
10,90,100,0.0,0.0,-127.3496170043945,114.2999954223633,6.0,0,0,0,0,0
11,100,110,0.0,0.0,-127.3515625,114.2999954223633,6.0,0,0,0,0,0
12,110,120,0.0,0.0,-736.798828125,114.2999954223633,6.0,0,3,0,0,0
13,120,130,0.0,0.0,-152.400390625,114.2999954223633,6.0,5,0,3,0,0
14,130,140,0.0,573.80029296875,0.0,114.2999954223633,6.0,0,0,0,0,0
15,140,150,0.0,526.19970703125,0.0,114.2999954223633,6.0,0,0,0,0,0
16,150,160,0.0,783.15185546875,0.1093750074505806,114.2999954223633,6.0,6,0,0,0,0
17,160,170,1050.0,0.0,0.0,114.2999954223633,6.0,7,0,0,0,0
18,170,180,0.0,-152.400390625,0.0,114.2999954223633,6.0,0,0,0,0,0
19,180,190,0.0,-107.9999923706055,0.0,114.2999954223633,6.0,0,4,4,0,0
20,30,200,0.0,342.4009094238281,0.0,88.9000015258789,5.5,8,0,0,0,1
21,200,210,-2427.57421875,0.0,0.0,88.9000015258789,5.5,9,0,0,0,0
22,210,220,0.0,-949.549560546875,0.0,88.9000015258789,5.5,10,0,0,0,0
23,220,230,0.0,0.0,-208.1992340087891,88.9000015258789,5.5,0,0,0,0,0
24,230,240,0.0,0.0,-447.7011413574219,88.9000015258789,5.5,0,5,5,0,0
25,70,250,0.0,1100.000732421875,0.0,60.29999923706055,3.899999856948853,11,0,0,0,2
26,250,260,0.0,0.0,-1318.6015625,60.29999923706055,3.899999856948853,0,0,0,0,0
27,260,270,0.0,0.0,-457.298828125,60.29999923706055,3.899999856948853,0,6,0,0,0
28,270,150,0.0,0.0,-88.900390625,60.29999923706055,3.899999856948853,0,0,0,0,3
29,100,280,0.0,-79.550048828125,0.0,26.70000267028809,3.899999856948853,0,0,0,0,4
30,280,290,0.0,-50.0,0.0,26.70000267028809,7.799999713897705,0,0,0,0,5
31,290,300,0.0,-41.699951171875,0.0,26.70000267028809,7.799999713897705,0,7,0,0,6
32,300,310,0.0,-44.5,0.0,26.70000267028809,7.799999713897705,0,8,0,0,0
33,140,320,0.0,0.0,75.349609375,21.29999923706055,3.700000047683716,0,0,0,0,7
34,320,330,0.0,0.0,50.0,21.29999923706055,7.5,0,0,0,0,8
35,330,340,0.0,0.0,23.599609375,21.29999923706055,7.5,0,9,0,0,9
